Город,Широта,Долгота,Население(тыс),Вес
Севастополь,44.60, 33.52, 449 ,3661175.25 
Санкт-Петербург,59.93, 30.32, 5398 ,3762259.00 
Курган,55.43, 65.32, 312 ,3862180.75 
Тюмень,57.17, 65.50, 807 ,3932557.00 
Псков,57.80, 28.33, 210 ,3933395.25 
Мурманск,68.97, 33.08, 288 ,4072256.75 
Ханты-Мансийск,60.98, 69.05, 101 ,4491715.50 
Омск,54.98, 73.37, 1155 ,4633080.50 
Нефтеюганск,61.10, 72.62, 127 ,4841008.00 
Нефтекамск,61.10, 72.62, 131 ,4841008.00 
Сургут,61.25, 73.38, 381 ,4925221.00 
Калининград,54.72, 20.52, 489 ,5005251.00 
Нижневартовск,60.93, 76.53, 278 ,5227286.00 
Ноябрьск,63.15, 75.35, 107 ,5263037.00 
Рубцовск,51.50, 81.17, 142 ,5554433.50 
Новый Уренгой,66.08, 76.67, 118 ,5612601.00 
Новосибирск,55.02, 82.93, 1626 ,5629409.50 
Бердск,54.77, 83.08, 104 ,5649630.50 
Барнаул,53.35, 83.75, 632 ,5759321.00 
Северск,56.60, 84.88, 107 ,5876414.00 
Томск,56.48, 84.98, 577 ,5883373.50 
Бийск,52.53, 85.17, 199 ,5951541.00 
Кемерово,55.42, 86.08, 556 ,5989646.00 
Прокопьевск,53.90, 86.72, 190 ,6092138.00 
Новокузнецк,53.75, 87.12, 549 ,6144446.50 
Ачинск,56.30, 90.52, 106 ,6552762.00 
Абакан,53.72, 91.43, 187 ,6680903.50 
Красноярск,56.02, 93.07, 1094 ,6861643.00 
Норильск,69.35, 88.20, 182 ,7131653.50 
Кызыл,51.70, 94.42, 119 ,7134406.00 
Братск,56.30, 101.72, 226 ,7996750.00 
Ангарск,52.57, 103.92, 225 ,8337627.00 
Иркутск,52.33, 104.23, 624 ,8388517.00 
Улан-Удэ,51.83, 107.60, 439 ,8861580.00 
Чита,52.05, 113.47, 352 ,9652001.00 
Благовещенск,50.30, 127.52, 226 ,11669162.00 
Якутск,62.02, 129.70, 323 ,12146914.00 
Уссурийск,43.80, 131.95, 174 ,12664081.00 
Владивосток,43.13, 131.90, 607 ,12703196.00 
Артём,43.37, 132.20, 106 ,12729384.00 
Хабаровск,48.42, 135.12, 616 ,12838735.00 
Находка,42.82, 132.88, 145 ,12867232.00 
Комсомольск-на-Амуре,50.57, 137.00, 245 ,13004088.00 
Южно-Сахалинск,46.97, 142.73, 201 ,14041081.00 
Петропавловск-Камчатский,53.02, 158.65, 180 ,16101640.00 
